#           k/h    P           
    0.10000E-03    0.13411E+04
    0.10202E-03    0.13671E+04
    0.10408E-03    0.13935E+04
    0.10618E-03    0.14205E+04
    0.10833E-03    0.14480E+04
    0.11052E-03    0.14760E+04
    0.11275E-03    0.15045E+04
    0.11503E-03    0.15336E+04
    0.11735E-03    0.15633E+04
    0.11972E-03    0.15935E+04
    0.12214E-03    0.16243E+04
    0.12461E-03    0.16557E+04
    0.12712E-03    0.16878E+04
    0.12969E-03    0.17204E+04
    0.13231E-03    0.17536E+04
    0.13499E-03    0.17875E+04
    0.13771E-03    0.18221E+04
    0.14049E-03    0.18573E+04
    0.14333E-03    0.18932E+04
    0.14623E-03    0.19297E+04
    0.14918E-03    0.19670E+04
    0.15220E-03    0.20050E+04
    0.15527E-03    0.20437E+04
    0.15841E-03    0.20832E+04
    0.16161E-03    0.21234E+04
    0.16487E-03    0.21644E+04
    0.16820E-03    0.22061E+04
    0.17160E-03    0.22487E+04
    0.17507E-03    0.22921E+04
    0.17860E-03    0.23363E+04
    0.18221E-03    0.23813E+04
    0.18589E-03    0.24272E+04
    0.18965E-03    0.24740E+04
    0.19348E-03    0.25217E+04
    0.19739E-03    0.25702E+04
    0.20138E-03    0.26197E+04
    0.20544E-03    0.26702E+04
    0.20959E-03    0.27216E+04
    0.21383E-03    0.27740E+04
    0.21815E-03    0.28273E+04
    0.22255E-03    0.28817E+04
    0.22705E-03    0.29371E+04
    0.23164E-03    0.29936E+04
    0.23632E-03    0.30511E+04
    0.24109E-03    0.31097E+04
    0.24596E-03    0.31694E+04
    0.25093E-03    0.32302E+04
    0.25600E-03    0.32922E+04
    0.26117E-03    0.33553E+04
    0.26645E-03    0.34197E+04
    0.27183E-03    0.34852E+04
    0.27732E-03    0.35520E+04
    0.28292E-03    0.36200E+04
    0.28864E-03    0.36892E+04
    0.29447E-03    0.37598E+04
    0.30042E-03    0.38317E+04
    0.30649E-03    0.39049E+04
    0.31268E-03    0.39795E+04
    0.31899E-03    0.40554E+04
    0.32544E-03    0.41328E+04
    0.33201E-03    0.42116E+04
    0.33872E-03    0.42918E+04
    0.34556E-03    0.43735E+04
    0.35254E-03    0.44567E+04
    0.35966E-03    0.45415E+04
    0.36693E-03    0.46277E+04
    0.37434E-03    0.47156E+04
    0.38190E-03    0.48051E+04
    0.38962E-03    0.48962E+04
    0.39749E-03    0.49889E+04
    0.40552E-03    0.50833E+04
    0.41371E-03    0.51795E+04
    0.42207E-03    0.52773E+04
    0.43060E-03    0.53769E+04
    0.43929E-03    0.54783E+04
    0.44817E-03    0.55816E+04
    0.45722E-03    0.56866E+04
    0.46646E-03    0.57935E+04
    0.47588E-03    0.59024E+04
    0.48550E-03    0.60131E+04
    0.49530E-03    0.61258E+04
    0.50531E-03    0.62405E+04
    0.51552E-03    0.63571E+04
    0.52593E-03    0.64759E+04
    0.53656E-03    0.65966E+04
    0.54739E-03    0.67195E+04
    0.55845E-03    0.68445E+04
    0.56973E-03    0.69717E+04
    0.58124E-03    0.71010E+04
    0.59299E-03    0.72325E+04
    0.60496E-03    0.73663E+04
    0.61719E-03    0.75024E+04
    0.62965E-03    0.76407E+04
    0.64237E-03    0.77814E+04
    0.65535E-03    0.79244E+04
    0.66859E-03    0.80698E+04
    0.68210E-03    0.82176E+04
    0.69588E-03    0.83678E+04
    0.70993E-03    0.85205E+04
    0.72427E-03    0.86758E+04
    0.73891E-03    0.88335E+04
    0.75383E-03    0.89938E+04
    0.76906E-03    0.91566E+04
    0.78460E-03    0.93221E+04
    0.80045E-03    0.94901E+04
    0.81662E-03    0.96609E+04
    0.83311E-03    0.98343E+04
    0.84994E-03    0.10010E+05
    0.86711E-03    0.10189E+05
    0.88463E-03    0.10371E+05
    0.90250E-03    0.10555E+05
    0.92073E-03    0.10742E+05
    0.93933E-03    0.10932E+05
    0.95831E-03    0.11125E+05
    0.97767E-03    0.11321E+05
    0.99742E-03    0.11519E+05
    0.10176E-02    0.11720E+05
    0.10381E-02    0.11925E+05
    0.10591E-02    0.12132E+05
    0.10805E-02    0.12342E+05
    0.11023E-02    0.12555E+05
    0.11246E-02    0.12771E+05
    0.11473E-02    0.12990E+05
    0.11705E-02    0.13212E+05
    0.11941E-02    0.13436E+05
    0.12182E-02    0.13664E+05
    0.12429E-02    0.13895E+05
    0.12680E-02    0.14129E+05
    0.12936E-02    0.14365E+05
    0.13197E-02    0.14605E+05
    0.13464E-02    0.14847E+05
    0.13736E-02    0.15093E+05
    0.14013E-02    0.15341E+05
    0.14296E-02    0.15593E+05
    0.14585E-02    0.15847E+05
    0.14880E-02    0.16104E+05
