# # First row is parameter values (first value is 99.0)
# # Second row is sigma_8 (first value is 99.0)
# # First column is k (Mpc/h), second column is P(k,z =0)
# # parmeter being varied is obh2
# # model type = fiducial
9.900000000000000000e+01 1.000000000000000021e-02 1.444444444444444378e-02 1.888888888888888909e-02 2.333333333333333093e-02 2.777777777777777624e-02 3.222222222222222154e-02 3.666666666666666685e-02 4.111111111111111216e-02 4.555555555555555747e-02 5.000000000000000278e-02
9.900000000000000000e+01 8.936368559002726419e-01 8.597970089632268609e-01 8.286135831990579792e-01 7.995629518266624824e-01 7.725330464131516806e-01 7.473491742298722373e-01 7.238374982245814326e-01 7.018476692700862385e-01 6.812494622961309254e-01 6.619321733708539712e-01
1.000000000000000048e-04 5.228969163205061932e+02 4.972255798236876103e+02 4.735363908186705544e+02 4.516223712763865024e+02 4.313039952769811407e+02 4.124240479497636898e+02 3.948447653953911640e+02 3.784448840895950639e+02 3.631172521327490017e+02 3.487670407759270006e+02
1.047370897959449686e-04 5.466388720605523304e+02 5.198027934868875946e+02 4.950386232577835699e+02 4.721301533095630134e+02 4.508896580763582733e+02 4.311528462766086705e+02 4.127757261874203323e+02 3.956314041672262078e+02 3.796080750411776421e+02 3.646064445742455291e+02
1.096985797892383675e-04 5.714572516458692917e+02 5.434037586902127259e+02 5.175159841439941601e+02 4.935680879551276234e+02 4.713637044969525505e+02 4.507312489582200783e+02 4.315200979493990303e+02 4.135977037264140677e+02 3.968471058785513037e+02 3.811645741093864785e+02
1.148951000187309178e-04 5.974006594887522397e+02 5.680746348362724802e+02 5.410125380748415864e+02 5.159781713359445803e+02 4.927662892449092169e+02 4.711976373063425285e+02 4.511146890826536264e+02 4.323790430701712921e+02 4.148682003445044870e+02 3.984739540410213294e+02
1.203377840777589472e-04 6.245199094679055634e+02 5.938637890782697468e+02 5.655742674379681603e+02 5.394042829566002411e+02 5.151393605734249377e+02 4.925921132754093605e+02 4.715979797240118501e+02 4.520122358437261028e+02 4.337067659746594472e+02 4.165685414712290822e+02
1.260382929679727457e-04 6.528679949737737616e+02 6.208217486678124715e+02 5.912492003650428387e+02 5.638922675358032848e+02 5.385267238229444047e+02 5.149566227733143933e+02 4.930101071262904497e+02 4.725357502534265564e+02 4.533997509158201069e+02 4.354838103707643313e+02
1.320088400831417777e-04 6.825001802126305392e+02 6.490011050476631453e+02 6.180875324080822111e+02 5.894900193705532274e+02 5.629741368712896019e+02 5.383349970627833727e+02 5.153929700696844520e+02 4.939897823985929790e+02 4.739856893997501288e+02 4.552568145025005606e+02
1.382622173764655948e-04 7.134742274073063300e+02 6.784567426492443474e+02 6.461417035547038950e+02 6.162475726101640703e+02 5.885293832181873768e+02 5.627729302984275819e+02 5.387903493143730884e+02 5.164163338218185118e+02 4.955048664195090851e+02 4.759262907789379256e+02
1.448118227674533498e-04 7.458505312708409747e+02 7.092461062796779743e+02 6.754664296463796518e+02 6.442171826847995817e+02 6.152423739143389412e+02 5.883181095197934383e+02 5.632479895959479563e+02 5.398592925534344431e+02 5.179994344005771154e+02 4.975327904169129170e+02
1.516716888470922740e-04 7.796921292016135112e+02 7.414292464904258395e+02 7.061188259874585356e+02 6.734534231231098147e+02 6.431652477205981313e+02 6.150203979666598570e+02 5.888136798130469742e+02 5.643644939649732351e+02 5.415134186470113491e+02 5.201186672441366454e+02
1.588565129428052810e-04 8.150647568047587583e+02 7.750687471589798179e+02 7.381585666083972228e+02 7.040132255907228682e+02 6.723524608681522068e+02 6.429319193209714740e+02 6.155373422309826310e+02 5.899797900189108759e+02 5.660927406460277780e+02 5.437279855473117323e+02
1.663816886076128847e-04 8.520370089403650127e+02 8.102298635328565979e+02 7.716479904281731024e+02 7.359559681509281290e+02 7.028607967429675227e+02 6.721070679873377003e+02 6.434710766654029612e+02 6.167551477521435572e+02 5.917853493724082909e+02 5.684067239368284845e+02
1.742633386009649968e-04 8.906804066346340960e+02 8.469807323982390699e+02 8.066520940719658483e+02 7.693436546490547698e+02 7.347494860473864264e+02 7.026025963630611386e+02 6.726692155163379994e+02 6.447427165850793926e+02 6.186413008606450603e+02 5.942030241383309885e+02
1.825183494319043405e-04 9.310696075528808251e+02 8.853924979286276766e+02 8.432386150661365036e+02 8.042410367471940162e+02 7.680804349437257770e+02 7.344777532142289829e+02 7.031885075853425633e+02 6.739969500710554939e+02 6.467128688984776090e+02 6.211672241570538517e+02
1.911644075385702070e-04 9.732826223520955864e+02 9.255393878227782807e+02 8.814782586013965329e+02 8.407157065033168237e+02 8.029183526591530153e+02 7.677943834142200785e+02 7.350882648877094425e+02 7.045747014584806038e+02 6.760546669842223082e+02 6.493518116785104439e+02
2.002200371815584276e-04 1.017400857966242256e+03 9.674988153735630476e+02 9.214448343345308103e+02 8.788381959782552713e+02 8.393306671662993494e+02 8.026170125559154940e+02 7.684303865515769303e+02 7.365353173659236745e+02 7.067237301634457936e+02 6.788115349723368581e+02
2.097046401323232167e-04 1.063508964397454520e+03 1.011351500523884056e+03 9.632153555572241430e+02 9.186820750893438117e+02 8.773875255913238789e+02 8.390128900234841467e+02 8.032793102291552714e+02 7.699406418225811422e+02 7.387795020725428685e+02 7.096035338140441127e+02
2.196385372416545924e-04 1.111695122568106171e+03 1.057181518002878192e+03 1.006870133060382500e+03 9.603239520914549985e+02 9.171621758552187202e+02 8.770521954825550210e+02 8.397022555324803079e+02 8.048551874489065767e+02 7.722839660251976284e+02 7.417874394383658228e+02
2.300430119772917776e-04 1.162051349345198560e+03 1.105076537760924566e+03 1.052492895358607484e+03 1.003843720997598780e+03 9.587312440506677831e+02 9.168082054301705739e+02 8.777694584977023169e+02 8.413463642586348215e+02 8.073018279475247709e+02 7.754254764803464468e+02
2.409403560239524868e-04 1.214673628479290301e+03 1.155127960012022641e+03 1.100170753788436286e+03 1.049324735642783708e+03 1.002174638973535480e+03 9.583573677949391367e+02 9.175542378389740179e+02 8.794845719796596768e+02 8.439006319593059970e+02 8.105825580738286362e+02
