# # First row is parameter values (first value is 99.0)
# # Second row is sigma_8 (first value is 99.0)
# # First column is k (Mpc/h), second column is P(k,z =0)
# # parmeter being varied is om
# # model type = fiducial
9.900000000000000000e+01 1.000000000000000056e-01 2.000000000000000111e-01 3.000000000000000444e-01 4.000000000000000222e-01 5.000000000000000000e-01 5.999999999999999778e-01 7.000000000000000666e-01 8.000000000000000444e-01 9.000000000000000222e-01 1.000000000000000000e+00
9.900000000000000000e+01 4.092820213633396320e-01 6.977894173108920572e-01 9.061241385717437868e-01 1.059663932216730498e+00 1.175557888549500829e+00 1.263281336119632892e+00 1.329722298779520084e+00 1.381118409581737039e+00 1.421959329984669118e+00 1.453395267339794072e+00
1.000000000000000048e-04 1.319568990360927046e+03 6.041072675609030966e+02 3.583506058496124069e+02 2.414540067618700618e+02 1.755981520296982126e+02 1.343931884232570155e+02 1.066939615557928676e+02 8.707374172533410217e+01 7.261054369179879586e+01 6.160820366835347528e+01
1.047370897959449686e-04 1.379410621905187327e+03 6.315333731940214648e+02 3.746250432956084069e+02 2.524212527415263594e+02 1.835747780688249122e+02 1.404983397032744108e+02 1.115409617643769025e+02 9.102949134177998758e+01 7.590929317511773888e+01 6.440713330292280148e+01
1.096985797892383675e-04 1.441954755509931829e+03 6.602025170521395694e+02 3.916378937432041880e+02 2.638863637809395186e+02 1.919135644288860760e+02 1.468807548289306624e+02 1.166080987794231447e+02 9.516491830915965977e+01 7.935787865086801673e+01 6.733320534233612875e+01
1.148951000187309178e-04 1.507321988569493215e+03 6.901707312720907339e+02 4.094225611175599511e+02 2.758719004072798953e+02 2.006309467897501122e+02 1.535530026488744397e+02 1.219053630783355828e+02 9.948817324119904981e+01 8.296309848782000529e+01 7.039219249092371911e+01
1.203377840777589472e-04 1.575638014217541468e+03 7.214965356959997962e+02 4.280139592156886579e+02 2.884014113477210230e+02 2.097441236184136812e+02 1.605282291337116760e+02 1.274432079903411079e+02 1.040077805311047570e+02 8.673207574587071633e+01 7.359012971394336944e+01
1.260382929679727457e-04 1.647033648979598411e+03 7.542410281087522890e+02 4.474485645872592272e+02 3.014995217821050346e+02 2.192710466305590558e+02 1.678201876076688563e+02 1.332325558158622414e+02 1.087326627809542430e+02 9.067225178597286117e+01 7.693332723989523458e+01
1.320088400831417777e-04 1.721645261507566147e+03 7.884680102598142639e+02 4.677644620671125040e+02 3.151920111234784372e+02 2.292304613643289599e+02 1.754432475447693776e+02 1.392848069183113182e+02 1.136721448395062879e+02 9.479139010221865647e+01 8.042838165711498277e+01
1.382622173764655948e-04 1.799614950873918815e+03 8.242440814629361512e+02 4.890014364147962169e+02 3.295058101581063283e+02 2.396419475702180080e+02 1.834124126953039138e+02 1.456118772888619048e+02 1.188359583849581611e+02 9.909760548455479068e+01 8.408218529909584049e+01
1.448118227674533498e-04 1.881090805017071943e+03 8.616387762138241442e+02 5.112010475401630174e+02 3.444689882260001923e+02 2.505259567607685653e+02 1.917433644151290650e+02 1.522262336313445701e+02 1.242342723564421050e+02 1.035993869956198665e+02 8.790194125613628273e+01
1.516716888470922740e-04 1.966226971484504020e+03 9.007246596707561821e+02 5.344067120797914185e+02 3.601108653128819128e+02 2.619038873527755982e+02 2.004524977830672299e+02 1.591409102106136118e+02 1.298777182194015154e+02 1.083056107344206254e+02 9.189517884387778679e+01
1.588565129428052810e-04 2.055183968422843009e+03 9.415774691935064311e+02 5.586637813138790989e+02 3.764621302430807646e+02 2.737981410552947636e+02 2.095569518071562243e+02 1.663695319325427420e+02 1.357774106457144114e+02 1.132255596850138772e+02 9.606976857305414796e+01
1.663816886076128847e-04 2.148128578382089472e+03 9.842761560538936010e+02 5.840196252197951026e+02 3.935548678230333621e+02 2.862321055685269471e+02 2.190746496674240973e+02 1.739263388520456601e+02 1.419449796376536597e+02 1.183689377695723692e+02 1.004339430087211724e+02
1.742633386009649968e-04 2.245234271277545304e+03 1.028903062721326478e+03 6.105236697958152945e+02 4.114225688012471664e+02 2.992301588631257232e+02 2.290243224745611599e+02 1.818261957890737506e+02 1.483925868461227537e+02 1.237458760852272945e+02 1.049963140202420675e+02
1.825183494319043405e-04 2.346681265407607953e+03 1.075544150080871077e+03 6.382274914992360664e+02 4.301002036760586975e+02 3.128177757422298555e+02 2.394255085258298834e+02 1.900846286412870825e+02 1.551329250234153392e+02 1.293669586191380745e+02 1.097658761442837516e+02
1.911644075385702070e-04 2.452656859441432516e+03 1.124289142616934896e+03 6.671849597829451568e+02 4.496242784455661763e+02 3.270216121663117406e+02 2.502986114298345797e+02 1.987178826979476867e+02 1.621792468360275734e+02 1.352432545638268380e+02 1.147520169947026858e+02
2.002200371815584276e-04 2.563355549657135271e+03 1.175231476145995202e+03 6.974523407293278296e+02 4.700329047859518710e+02 3.418695257266074350e+02 2.616649916582359765e+02 2.077429522692158912e+02 1.695454145240549337e+02 1.413863383547883075e+02 1.199645520193812303e+02
2.097046401323232167e-04 2.678979266514873416e+03 1.228468387600538563e+03 7.290883495198756918e+02 4.913659072250034683e+02 3.573906030238447329e+02 2.735469965132766106e+02 2.171775787403646234e+02 1.772459285758302769e+02 1.478083060112383862e+02 1.254137541306569972e+02
2.196385372416545924e-04 2.799737380191725151e+03 1.284101217944690006e+03 7.621542141188965616e+02 5.136649042414961741e+02 3.736152256635828053e+02 2.859679383609412753e+02 2.270402781110828982e+02 1.852959395400096412e+02 1.545217983842633203e+02 1.311103611342003603e+02
2.300430119772917776e-04 2.925846735631399042e+03 1.342235550957550004e+03 7.967138216840199902e+02 5.369733450270712183e+02 3.905751185041963254e+02 2.989521361196427733e+02 2.373504077636012539e+02 1.937112733980586654e+02 1.615400243573405135e+02 1.370655850840953747e+02
2.409403560239524868e-04 3.057531885219580090e+03 1.402981412421279629e+03 8.328337968449610571e+02 5.613365645544744211e+02 4.083034152436982254e+02 3.125250129461595634e+02 2.481282137642384100e+02 2.025084679228272648e+02 1.688767849192676920e+02 1.432911416427852487e+02
2.523539170434766117e-04 3.195024814205539769e+03 1.466453401202200439e+03 8.705836488094681727e+02 5.868018809680351069e+02 4.268347170248549105e+02 3.267131547378323830e+02 2.593948482484296960e+02 2.117048035712702756e+02 1.765465015122642285e+02 1.497992771576285236e+02
2.643081486974104954e-04 3.338565621991293938e+03 1.532770813284061205e+03 9.100358634122111425e+02 6.134186470526072981e+02 4.462051579375872166e+02 3.415443297994464729e+02 2.711723961330487214e+02 2.213183329671685442e+02 1.845642421792896926e+02 1.566027916418278494e+02
2.768286630392065599e-04 3.488402277762705580e+03 1.602057481692948159e+03 9.512660330585225665e+02 6.412383749989654689e+02 4.664524563897670646e+02 3.570475265640121734e+02 2.834839254891949167e+02 2.313679030780690766e+02 1.929457552589460363e+02 1.637150634418612469e+02
2.899422853882876647e-04 3.644791005408227647e+03 1.674442172462629742e+03 9.943528481320403216e+02 6.703148301765489805e+02 4.876159807272959483e+02 3.732530151953708355e+02 2.963535193276001678e+02 2.418732072763856706e+02 2.017075042565105321e+02 1.711500747261048616e+02
3.036771118035457777e-04 3.807995359208602622e+03 1.750058578324915970e+03 1.039378287595935262e+03 7.007041226374382177e+02 5.097368321170667969e+02 3.901923847857315195e+02 3.098063377833509549e+02 2.528548428907148491e+02 2.108666906891753854e+02 1.789224305030285791e+02
