# # First row is parameter values (first value is 99.0)
# # Second row is sigma_8 (first value is 99.0)
# # First column is k (Mpc/h), second column is P(k,z =0)
# # parmeter being varied is omch2
# # model type = fiducial
9.900000000000000000e+01 1.000000000000000021e-02 6.444444444444444309e-02 1.188888888888888773e-01 1.733333333333333393e-01 2.277777777777777735e-01 2.822222222222222077e-01 3.366666666666666696e-01 3.911111111111110761e-01 4.455555555555555380e-01 5.000000000000000000e-01
9.900000000000000000e+01 1.096767636322479728e-01 5.109470815202991067e-01 7.947091773088246214e-01 9.941267687233483752e-01 1.138425413003749442e+00 1.244365212961771272e+00 1.322000303519144992e+00 1.380299941111096107e+00 1.425138900607229475e+00 1.458849603102066128e+00
1.000000000000000048e-04 4.133803449508723133e+03 9.870645885180806545e+02 4.735363526291243943e+02 2.864686078359612793e+02 1.950648119565001650e+02 1.427759723020521108e+02 1.097372639246940480e+02 8.737721810431345659e+01 7.146140179720678987e+01 5.968592651035714880e+01
1.047370897959449686e-04 4.320336444418573592e+03 1.031851011182282491e+03 4.950385763687769440e+02 2.994797599813670104e+02 2.039254957508492225e+02 1.492618729069581320e+02 1.147224828861777866e+02 9.134675166992586526e+01 7.470793193630053963e+01 6.239752984342885611e+01
1.096985797892383675e-04 4.515159821042419026e+03 1.078663575213156491e+03 5.175159275281299642e+02 3.130814367263217264e+02 2.131884930987196469e+02 1.560423157429245578e+02 1.199341267350285278e+02 9.549658562338100865e+01 7.810193767994579161e+01 6.523231158414611741e+01
1.148951000187309178e-04 4.718623898626830851e+03 1.127592994269893097e+03 5.410124545724145264e+02 3.273003826156009950e+02 2.228720318741017934e+02 1.631306510514172032e+02 1.253824743247003255e+02 9.983490611450132235e+01 8.165011835193148215e+01 6.819586202496863336e+01
1.203377840777589472e-04 4.931091580533770866e+03 1.178733991873637478e+03 5.655741684102295039e+02 3.421645477498468040e+02 2.329951656880064093e+02 1.705408476277674765e+02 1.310782661686520498e+02 1.043702714315556648e+02 8.535946615752887112e+01 7.129402428164546279e+01
1.260382929679727457e-04 5.152937976349437122e+03 1.232185486818816344e+03 5.912491287690407944e+02 3.577031362821426796e+02 2.435778161551414769e+02 1.782875150227973506e+02 1.370327234811842629e+02 1.091116297711897403e+02 8.923729168492855024e+01 7.453291377580266897e+01
1.320088400831417777e-04 5.384550593786612808e+03 1.288050648301895080e+03 6.180874992280942024e+02 3.739466625074157378e+02 2.546408067690403527e+02 1.863859136015381068e+02 1.432575659229692349e+02 1.140683319105489630e+02 9.329124551518391684e+01 7.791892655355718489e+01
1.382622173764655948e-04 5.626329330390227369e+03 1.346436958268456692e+03 6.461416715990068269e+02 3.909269912013048724e+02 2.662059042843607699e+02 1.948519845357995735e+02 1.497650503078264137e+02 1.192501407897628383e+02 9.752932428207347471e+01 8.145873937827529687e+01
1.448118227674533498e-04 5.878685930513060157e+03 1.407456503486134125e+03 6.754664002887386687e+02 4.086774112142066997e+02 2.782958555537744019e+02 2.037023876236060573e+02 1.565680094502588702e+02 1.246672596942145077e+02 1.019598762672380161e+02 8.515932455879681129e+01
