# # First row is parameter values (first value is 99.0)
# # Second row is sigma_8 (first value is 99.0)
# # First column is k (Mpc/h), second column is P(k,z =0)
# # parmeter being varied is tau
# # model type = fiducial
9.900000000000000000e+01 1.000000000000000021e-02 3.111111111111111022e-02 5.222222222222222543e-02 7.333333333333333370e-02 9.444444444444444198e-02 1.155555555555555503e-01 1.366666666666666863e-01 1.577777777777777946e-01 1.788888888888889028e-01 2.000000000000000111e-01
9.900000000000000000e+01 8.080858751484836233e-01 8.080788227161425086e-01 8.080673654946097795e-01 8.080524040533202390e-01 8.080343272249548292e-01 8.080134778414295171e-01 8.079899162040039551e-01 8.079637831268177139e-01 8.079353846116416049e-01 8.079046401379167408e-01
1.000000000000000048e-04 4.580215135130312660e+02 4.580213442690964598e+02 4.580213451472087627e+02 4.580213451461771115e+02 4.580213443459060727e+02 4.580213443484168465e+02 4.580214297935028185e+02 4.580214310385954377e+02 4.580215130327363795e+02 4.580216369461744534e+02
1.047370897959449686e-04 4.788197347798320607e+02 4.788195152859718746e+02 4.788195281321405901e+02 4.788195281168391944e+02 4.788195162302215522e+02 4.788195164638875667e+02 4.788196231869735016e+02 4.788196833663371876e+02 4.788197226301481351e+02 4.788198027468761779e+02
1.096985797892383675e-04 5.005612025099451898e+02 5.005609740059137494e+02 5.005609760678676707e+02 5.005609760654010643e+02 5.005609741485924928e+02 5.005609741958503491e+02 5.005610669042404766e+02 5.005612005152261759e+02 5.005612003060903135e+02 5.005612037813449433e+02
1.148951000187309178e-04 5.232884932620027030e+02 5.232883332534472629e+02 5.232882775669091870e+02 5.232882776238792530e+02 5.232883300261704562e+02 5.232883288678287954e+02 5.232883693396324816e+02 5.232885068582243093e+02 5.232885580787140043e+02 5.232885265278414408e+02
1.203377840777589472e-04 5.470461661287819197e+02 5.470460670265716772e+02 5.470459664874251757e+02 5.470459665189604266e+02 5.470460652502183621e+02 5.470460645990765443e+02 5.470460647950744715e+02 5.470461688340617457e+02 5.470463068494806294e+02 5.470462966162730254e+02
1.260382929679727457e-04 5.718807909576298698e+02 5.718806321353098383e+02 5.718805764070697251e+02 5.718805762037445675e+02 5.718806435672549924e+02 5.718806477871686411e+02 5.718806836502221813e+02 5.718807839017571268e+02 5.718809445238616718e+02 5.718810031901687125e+02
1.320088400831417777e-04 5.978409036964741290e+02 5.978406417816994463e+02 5.978406461100171327e+02 5.978406459155413586e+02 5.978406527110258821e+02 5.978406567523462627e+02 5.978407871764351285e+02 5.978408993946635519e+02 5.978410236193331002e+02 5.978411654977763874e+02
1.382622173764655948e-04 6.249771523660724597e+02 6.249769137268561963e+02 6.249768454242148437e+02 6.249768461150077883e+02 6.249768698057591791e+02 6.249768554442171080e+02 6.249770789934598270e+02 6.249771645622437291e+02 6.249772544241998276e+02 6.249774469365547702e+02
1.448118227674533498e-04 6.533425135918274691e+02 6.533423785358415898e+02 6.533421399654963579e+02 6.533421409470149683e+02 6.533422398050951188e+02 6.533422193972586456e+02 6.533425045868439156e+02 6.533425298934158718e+02 6.533426264446117102e+02 6.533428209988356912e+02
1.516716888470922740e-04 6.829923733758473645e+02 6.829922095602850050e+02 6.829918812999524107e+02 6.829918790967984705e+02 6.829919945518614668e+02 6.829920431178985609e+02 6.829923517675954372e+02 6.829923348717477438e+02 6.829925000495398990e+02 6.829926576363342292e+02
1.588565129428052810e-04 7.139844571867979539e+02 7.139841056462059896e+02 7.139838320861332477e+02 7.139838276085289408e+02 7.139838756547264893e+02 7.139840390247961750e+02 7.139843316569214267e+02 7.139843146618862875e+02 7.139845889020241430e+02 7.139847108379675547e+02
1.663816886076128847e-04 7.463789186469192600e+02 7.463784106053850564e+02 7.463782638925375750e+02 7.463782703028156220e+02 7.463782489446222144e+02 7.463784391711479884e+02 7.463786811441935924e+02 7.463786971745529399e+02 7.463790517293699622e+02 7.463792128659623586e+02
1.742633386009649968e-04 7.802386253797697009e+02 7.802380916469537624e+02 7.802380612807062334e+02 7.802380804175006688e+02 7.802380466749258403e+02 7.802381349129714181e+02 7.802383121419634335e+02 7.802383896822389033e+02 7.802387624591141275e+02 7.802390447701322955e+02
