# # First row is parameter values (first value is 99.0)
# # Second row is sigma_8 (first value is 99.0)
# # First column is k (Mpc/h), second column is P(k,z =0)
# # parmeter being varied is om
# # model type = fixomch2
9.900000000000000000e+01 1.000000000000000056e-01 2.000000000000000111e-01 3.000000000000000444e-01 4.000000000000000222e-01 5.000000000000000000e-01 5.999999999999999778e-01 7.000000000000000666e-01 8.000000000000000444e-01 9.000000000000000222e-01 1.000000000000000000e+00
9.900000000000000000e+01 1.090320724563599228e-02 5.940611535385355996e-03 4.165463051711125290e-03 3.236612225126141076e-03 2.628626502358610666e-03 2.243122694990026637e-03 1.970535051145919352e-03 1.715503272253117786e-03 1.537643113845030187e-03 1.408262846254747453e-03
1.000000000000000048e-04 2.873605472943954643e-22 2.913719510468033219e-22 2.937443806124698142e-22 2.954393519088225254e-22 2.967608061791614295e-22 2.978448993570642566e-22 2.987645761910770371e-22 2.995635315709730475e-22 3.002700334260061210e-22 3.009034326554922070e-22
1.047370897959449686e-04 2.868290417624578260e-22 2.908330259741343162e-22 2.932010674654804165e-22 2.948929037224932613e-22 2.962119138150857668e-22 2.972940018411797417e-22 2.982119776298351926e-22 2.990094552522304365e-22 2.997146503529167140e-22 3.003468780395533503e-22
1.096985797892383675e-04 2.862985193095585139e-22 2.902950977037755720e-22 2.926587592370363498e-22 2.943474662533159438e-22 2.956640366889427363e-22 2.967441232719808557e-22 2.976604011615528485e-22 2.984564037597254103e-22 2.991602945230534633e-22 2.997913528337404477e-22
1.148951000187309178e-04 2.857689781173826809e-22 2.897581643920295573e-22 2.921174540684284084e-22 2.938030376318560156e-22 2.951171729229359250e-22 2.961952617648113765e-22 2.971098448957546156e-22 2.979043751979271075e-22 2.986069640364150088e-22 2.992368551340442203e-22
1.203377840777589472e-04 2.852404163709785691e-22 2.892222241986088026e-22 2.915771501043847667e-22 2.932596159921365653e-22 2.945713206427423177e-22 2.956474154385011755e-22 2.965603069454616834e-22 2.973533676748104616e-22 2.980546569965141542e-22 2.986833830399768414e-22
1.260382929679727457e-04 2.847128322587516326e-22 2.886872752866296465e-22 2.910378454930654789e-22 2.927171994716319331e-22 2.940264779775054319e-22 2.951005824153595872e-22 2.960117854271853780e-22 2.968033793018501344e-22 2.975033715103715194e-22 2.981309346545659176e-22
1.320088400831417777e-04 2.841862239724578133e-22 2.881533158226060297e-22 2.904995383860558013e-22 2.921757862112616449e-22 2.934826430598294407e-22 2.945547608211687325e-22 2.954642784609207677e-22 2.962544081940136049e-22 2.969531056885088636e-22 2.975795080843474830e-22
1.382622173764655948e-04 2.836605897071977111e-22 2.876203439764431001e-22 2.899622269383596571e-22 2.916353743553835007e-22 2.929398140257722605e-22 2.940099487851775003e-22 2.949177841701403152e-22 2.957064524697550564e-22 2.964038576449428319e-22 2.970291014393599336e-22
